;Star ID;RA;DE;Magnitude
151;90815;-0.31596342;0.4247633;3.7
152;90980;-0.25592563;0.48539764;2.6
153;91780;0.0465019;0.26015379;2.9
154;92483;0.38747743;0.26334783;3.7
155;93718;1.03806207;0.21555849;4
156;93867;1.1211305;0.27067448;3.9
157;93896;1.13467084;0.30415664;3.9
158;93953;1.15930478;0.33285543;3.6
159;93954;1.1593991;0.2766839;4
160;93956;1.15978729;0.27509201;3.6
161;94026;1.19139783;0.28641585;1.1
162;95911;1.7227415;0.28699709;1.9
163;96073;1.75616237;0.22604103;3.4
164;96745;1.89900535;0.29028762;3.6
165;98708;2.5241103;0.17664012;3.8
166;98954;2.63810393;0.29683285;3.6
167;98966;2.64291187;0.2131461;1.3
168;99511;2.93048534;0.27407186;3.4
169;99586;2.97281423;0.18858069;4
170;99808;3.0827318;0.25920951;2.2
171;100383;-2.8811597;0.19595636;3
172;100765;-2.65157924;0.32546197;2.8
173;100943;-2.55961625;0.3393257;0.2
174;101144;-2.44887583;0.24333031;3.9
175;101724;-2.16474132;0.271871;3.7
176;101825;-2.11996016;0.276173;3.9
177;102106;-2.00838404;0.33631195;3.8
178;102679;-1.77863973;0.252129;3.5
179;102931;-1.69030076;0.21982383;2.1
180;104460;-1.29542351;0.24064144;3
181;105222;-1.11752653;0.18308688;2.8
182;105258;-1.11196169;0.32130876;3.8
183;105499;-1.06232823;0.33781076;3.7
184;106229;-0.91270538;0.19429311;4
185;106315;-0.89359359;0.25167798;3.7
186;106356;-0.88438203;0.27461932;3.9
187;108102;-0.3535749;0.18447835;3.6
188;108377;-0.25190475;0.26068;2.6
189;110664;0.68467704;0.00198774;4
190;110706;0.70121491;0.05281584;3.6
191;110919;0.78392512;0.06797645;2.8
192;111171;0.88190913;0.15453557;3.8
193;111194;0.89210534;0.16684945;3.8
194;111578;1.04934896;0.10213798;3.9
195;112105;1.25281116;0.12000234;3.3
196;112141;1.25899479;0.09636322;3.8
197;112196;1.27253855;0.04119578;3.9
198;112739;1.40694104;0.110061;1.7
199;112920;1.45028957;0.17282808;3.7
200;113270;1.53791208;0.12914428;0.6
201;115455;1.93923221;0.14646168;3.1
202;115755;1.99266547;0.09345661;0.5
203;116568;2.15462947;0.16303184;3.8
204;117111;2.28694529;0.1152519;3.5
205;117263;2.3245671;0.1071111;3.3
206;117526;2.40752303;0.04409201;3.8
207;118354;2.74967621;0.16693211;3.9
208;119075;3.08962454;0.03571918;3.8
209;119673;-2.90997392;0.06403225;3.7
210;120647;-2.42723789;0.0366954;3.8
211;121156;-2.17379659;0.11487141;2.8
212;121217;-2.14535558;0.08075469;3.8
213;121657;-1.97052464;0.03651161;3.9
214;121961;-1.8531063;0.16495693;3.4
215;122670;-1.65369648;0.08005166;2.9
216;122753;-1.63457217;0.04755188;3.7
217;123012;-1.57891588;0.05117989;4
218;123141;-1.54907745;0.16677077;3.7
219;124602;-1.20874253;0.05259734;3.4
220;125121;-1.09806007;0.1524531;0.9
221;125158;-1.0911562;0.01528729;4
222;125234;-1.07836737;0.1096156;3.9
223;127028;-0.60331988;0.1683355;2.5
224;127339;-0.490103;0.10386711;3.7
225;128084;-0.19821624;0.05251332;3.9
226;128512;-0.01421766;0.11495616;4
227;128693;0.07365173;-0.15884164;3.8
228;129273;0.35570996;-0.14732111;3.8
229;129824;0.5969786;-0.05591545;2
230;130196;0.75914202;-0.15875655;4
231;130563;0.91879623;-0.16801102;3.8
232;130685;0.96364247;-0.17333568;3.7
233;131793;1.33251271;-0.08987738;2.9
234;131906;1.36193787;-0.14412856;0.3
235;131951;1.37521772;-0.12037463;3.7
236;132070;1.40482105;-0.04261309;3.4
237;132219;1.43749805;-0.00583914;2.5
238;132322;1.45292305;-0.10369321;2.9
239;132345;1.45593011;-0.02150779;1.8
240;132405;1.46709818;-0.04585605;3.8
241;132443;1.47582446;-0.03433926;2
242;132541;1.50702004;-0.16905186;2.2
243;135895;2.19545825;-0.06531148;4
244;136870;2.46584415;-0.14732261;2.2
245;138720;-3.06590637;-0.00679054;4
246;138916;-2.97088112;-0.02051528;2.9
247;139419;-2.73954485;-0.00595114;3.4
248;140089;-2.44162231;-0.09497946;4
249;140429;-2.29374573;-0.1605651;2.7
250;140786;-2.15108586;-0.05722232;3.6
251;141051;-2.04324786;-0.06225691;3
252;141085;-2.02601106;-0.07979825;3.3
253;142003;-1.58706191;-0.17050461;3.5
254;142240;-1.48911019;-0.05084823;3.4
255;143020;-1.29331166;-0.08655253;3.5
256;144149;-1.00912799;-0.01694938;3.4
257;144809;-0.85097759;-0.16894889;3.8
258;145456;-0.65917813;-0.1010918;3.1
259;145861;-0.50956735;-0.00983488;3.2
260;146043;-0.4403742;-0.02862229;4
261;146361;-0.30540534;-0.1369412;3.8
262;147419;0.17924612;-0.3187106;2.2
263;147631;0.28830076;-0.18233149;3.6
264;147985;0.44394341;-0.28274576;3.6
265;148058;0.47556202;-0.18467959;3.9
266;149282;1.02841142;-0.23822857;3.2
267;149780;1.20379104;-0.25133517;4
268;150236;1.35561272;-0.28384857;3.3
269;150546;1.44217968;-0.3116585;2.7
270;150800;1.5039863;-0.25899324;3.7
271;150956;1.54516574;-0.24740852;3.8
272;151427;1.66022911;-0.3129338;2
273;151880;1.75818019;-0.29053124;-1.6
274;155784;2.65355096;-0.21129417;3.8
275;156255;2.82374865;-0.27805737;3.3
276;156604;2.95326385;-0.25320679;3.8
277;157175;-3.08386276;-0.30132062;2.8
278;157322;-3.02259174;-0.28339367;3.1
279;157922;-2.78137843;-0.19025718;1.2
280;158839;-2.40808552;-0.27637575;2.9
281;159369;-2.21340662;-0.25524049;4
282;159681;-2.0833772;-0.34330845;2.9
283;160005;-1.94428682;-0.18269142;2.7
284;160331;-1.79983726;-0.27340045;2.6
285;160699;-1.68109575;-0.26823679;3.6
286;162511;-1.22708274;-0.3131638;4
287;163426;-0.9805203;-0.22167858;3.8
288;163480;-0.96777052;-0.26076465;3.3
289;164559;-0.62254643;-0.29477181;3.8
290;164643;-0.59217624;-0.28545064;3
291;165374;-0.29671309;-0.28077461;3.5
292;168372;0.82879505;-0.50934244;4
293;168459;0.86084519;-0.382904;4
294;170050;1.32358229;-0.39159788;3.3
295;170456;1.42288622;-0.36299406;3
296;170758;1.49390389;-0.39206058;3.8
297;170925;1.52354104;-0.3644598;3.9
298;172675;1.81802128;-0.5044498;1.6
299;172796;1.8314017;-0.48628422;3.7
300;172838;1.83667848;-0.41467307;3.1
301;173046;1.86033452;-0.45924151;2
302;173281;1.8883656;-0.46573631;3.8
303;173650;1.92909585;-0.50971391;2.4
304;174600;2.03850247;-0.43167432;3.5
305;175216;2.11801675;-0.42165361;2.9
306;180530;-3.10865545;-0.38993623;3.2
307;180914;-3.00303227;-0.40352788;2.8
308;181542;-2.80911703;-0.39982526;3.3
309;181694;-2.76209393;-0.40183544;3.5
310;182243;-2.60264625;-0.46150631;3.5
311;183138;-2.35123143;-0.43784624;3.4
312;183618;-2.20791676;-0.48818503;3.8
313;183648;-2.20095232;-0.51687713;3.8
314;183956;-2.12148355;-0.50735955;4
315;183986;-2.11262644;-0.45329178;3
316;184013;-2.10586205;-0.39236635;2.5
317;184335;-2.015225;-0.44461361;3.1
318;184414;-1.97947927;-0.4594189;1.1
319;184480;-1.95143038;-0.49068264;2.9
320;185319;-1.74997204;-0.43548486;3.4
321;186496;-1.52379432;-0.36780613;4
322;186680;-1.49316161;-0.52100347;2.8
323;186840;-1.46221801;-0.44420656;2.9
324;187238;-1.3852124;-0.47200723;3.3
325;187447;-1.3431816;-0.46007989;2.1
326;187503;-1.33191674;-0.36955829;3.6
327;187599;-1.31147733;-0.52278812;2.7
328;187642;-1.30163419;-0.38077034;3.9
329;187682;-1.29233195;-0.48424713;3.4
330;187755;-1.27936634;-0.36834927;3
331;190340;-0.68148285;-0.39495027;3.9
332;191523;-0.28408643;-0.52163911;1.3
333;191682;-0.23220297;-0.37427102;3.8
334;194901;1.11701334;-0.59200429;3.6
335;195147;1.19382812;-0.53518088;3.9
336;195923;1.43743602;-0.61969864;3.9
337;196058;1.47409135;-0.59515112;2.8
338;196239;1.5236526;-0.62458416;3.2
339;196697;1.65104846;-0.52429623;3.1
340;196734;1.65930474;-0.58311484;4
341;197257;1.78011382;-0.56635285;3.8
342;197794;1.89968545;-0.64588769;2.7
343;198397;2.02227862;-0.66054172;3.7
344;198751;2.10236195;-0.69571166;2.3
345;199489;2.26083007;-0.61313126;4
346;199545;2.27582856;-0.57604902;3.7
347;202557;3.01303927;-0.55118787;3.7
348;204370;-2.80222189;-0.63615734;2.9
349;204544;-2.75702905;-0.68329238;4
350;205187;-2.60171308;-0.63049845;2.3
351;206551;-2.27492672;-0.62973996;3.6
352;207207;-2.10835598;-0.6676853;3.6
353;208077;-1.88966753;-0.59697804;2.4
354;208101;-1.88286999;-0.66258962;3.1
355;208115;-1.88083959;-0.66207693;3.6
356;208895;-1.71321068;-0.65027366;2.8
357;208953;-1.70077783;-0.64698206;1.7
358;209162;-1.66231353;-0.68078875;2.5
359;209317;-1.62990684;-0.64628388;3.3
360;209695;-1.5594751;-0.53104454;3.1
361;209956;-1.50865002;-0.64191023;3.2
362;210090;-1.47980736;-0.60057235;2
363;213373;-0.56327228;-0.6562612;3.2
364;214982;0.03001785;-0.80325729;3.9
365;215091;0.10362209;-0.76719666;3.9
366;215092;0.10392193;-0.74311538;2.4
367;215364;0.27862414;-0.82006128;3.4
368;215515;0.37610217;-0.76050754;3.4
369;215535;0.38908677;-0.86100583;4
370;216111;0.76953546;-0.70693058;3.4
371;216112;0.76953619;-0.7069318;3.4
372;216709;1.10105485;-0.74031199;3.8
373;217649;1.56038872;-0.74729855;4
374;218070;1.72887924;-0.7531294;3.2
375;218548;1.88500555;-0.77767212;3.1
376;218754;1.95321361;-0.75396983;3.3
377;219081;2.05293096;-0.70591427;3.8
378;219503;2.12926278;-0.82359329;1.9
379;220802;2.36679017;-0.81852311;3.7
380;220877;2.38305147;-0.7545039;2.2
381;221233;2.48154492;-0.7024431;3.6
382;222320;2.81265759;-0.85792464;2.8
383;223559;-2.98906192;-0.84240396;4
384;223602;-2.97252129;-0.84971995;2.4
385;224468;-2.67691778;-0.72325281;3.5
386;224470;-2.67648727;-0.73697323;3.3
387;224537;-2.65111803;-0.82105558;3.1
388;224576;-2.63884488;-0.73054911;4
389;225043;-2.47696356;-0.73198028;2.6
390;225127;-2.44960378;-0.82335578;2.9
391;225334;-2.37693575;-0.74933801;2.8
392;225343;-2.37409065;-0.73137867;3.4
393;225425;-2.34876455;-0.81780709;4
394;225690;-2.2773019;-0.70630042;3.4
395;225711;-2.27209049;-0.77686641;3.7
396;225937;-2.21744153;-0.7155897;3
397;227401;-1.87160788;-0.73788574;3.8
398;227706;-1.79521549;-0.75355124;3.4
399;228068;-1.71054243;-0.86985082;3
400;228200;-1.68545202;-0.74993477;2
401;228419;-1.6402386;-0.70004647;3.1
402;229022;-1.46927823;-0.8028181;3.8
403;230299;-0.89858792;-0.82846382;3.2
404;230991;-0.50138321;-0.8238659;2.2
405;231153;-0.40889122;-0.76361262;4
406;231257;-0.35041534;-0.82286553;2.2
407;232480;0.41824686;-1.0033943;0.6
408;232572;0.4974787;-0.90507801;3.7
409;232695;0.58784297;-0.90308615;3.8
410;233563;1.19080892;-0.96250923;3.5
411;234133;1.51014142;-0.89158084;3.9
412;234479;1.6704614;-0.91922347;-0.9
413;234734;1.78326712;-0.88233904;2.8
414;235634;2.07479114;-0.92236167;3.6
415;235931;2.18816168;-1.03581888;1.7
416;236163;2.26395647;-0.92055021;3.7
417;236231;2.28342751;-0.95163234;2
418;236692;2.39830267;-1.0255832;3.6
419;236807;2.42492476;-1.03087727;2.3
420;236890;2.44592282;-0.95637886;2.6
421;237066;2.48579036;-0.99157779;3
422;237521;2.59663171;-0.94822216;3.7
423;238573;2.84251574;-1.02254109;3.9
424;238812;2.90791968;-1.02457527;4
425;239688;-3.11647111;-0.88041355;2.9
426;239790;-3.08715292;-1.02050759;3.1
427;240018;-3.01776685;-0.99193039;1.6
428;240258;-2.9461858;-1.03699964;1.5
429;241046;-2.71963588;-0.92873978;2.6
430;242303;-2.3183239;-0.90600914;3.5
431;244167;-1.8960526;-1.02895096;3.7
432;244314;-1.85670873;-0.97587482;3.1
433;244724;-1.74036495;-0.96839647;2.8
434;244725;-1.74018547;-0.98319657;3.5
435;245241;-1.55885326;-0.87435924;3.9
436;246573;-0.95249242;-0.99304396;2.1
437;246783;-0.82502585;-1.02353961;3.7
438;247592;-0.3248707;-0.90024684;3.7
439;248473;0.51135989;-1.07883378;3
440;248876;0.97549093;-1.13383477;3.8
441;248968;1.10730546;-1.09255207;3.4
442;249310;1.45381062;-1.0912196;3.8
443;249646;1.77883413;-1.08013754;3.3
444;249808;1.90616564;-1.18448113;4
445;250227;2.20434758;-1.15138886;3.6
446;250373;2.32964521;-1.05510511;4
447;250494;2.41143867;-1.21319596;1.8
448;250613;2.49140006;-1.09199962;4
449;250694;2.55626508;-1.13166276;3.1
450;250884;2.672757;-1.21805244;3.6
451;250904;2.68523131;-1.06608143;3.4
452;251005;2.7499471;-1.07211542;3.6
453;251082;2.79762114;-1.11931533;3
454;251471;3.02580657;-1.09507096;3.3
455;251574;3.06843595;-1.15979582;3.8
456;251861;-3.06022984;-1.0493795;3.6
457;251903;-3.0377409;-1.09645186;1.6
458;251973;-2.99246204;-1.20183775;2.9
459;252018;-2.95313403;-1.18394003;3.3
460;252581;-2.61679324;-1.0495154;0.9
461;252837;-2.4600959;-1.0581972;0.1
462;252852;-2.45026918;-1.13025767;3.4
463;253096;-2.29419254;-1.19549634;3.1
464;253345;-2.13490273;-1.10441812;3
465;253473;-2.04697189;-1.10933665;4
466;253699;-1.90524074;-1.20321006;1.9
467;253944;-1.71662345;-1.05844959;3.8
468;254019;-1.6544818;-1.12927588;3.6
469;254732;-1.03043868;-1.15736375;3.6
470;254861;-0.87058026;-1.15863401;3.6
471;255192;-0.45773514;-1.05609403;2.9
472;255669;0.10103813;-1.35325316;2.9
473;256028;0.99479871;-1.29839663;3.2
474;256373;1.87265131;-1.22902571;3.9
475;256437;2.0178177;-1.26512465;3.9
476;256954;-3.0130786;-1.2541411;4
477;256999;-2.88503128;-1.24406672;3.6
478;257192;-2.4366983;-1.37592852;3.8
479;257406;-1.98220082;-1.37512698;3.9
480;257947;-0.62832834;-1.35461902;3.7
